"Item ID","Item Type"
25,POT,"Heart Questions"
27,QUESTION,shortTextResponse,"A deep vein thrombosis has dislodged into an embolus  Which chamber of the heart...","A deep vein thrombosis has dislodged into an embolus. Which chamber of the heart does it enter <strong>first</strong>?","That's right.

F is the right atrium.

DVT arises from the veins in the lower portion of the leg. When it dislodges, it takes the path of blood in any other vein in the body: vena cava &gt; right atrium &gt;  right ventricle &gt; pulmonary artery. As the pulmonary artery narrows within the lung, it becomes lodged and prevents blood flow into the gas exchange surfaces.","That's not right.

F is the right atrium.

DVT arises from the veins in the lower portion of the leg. When it dislodges, it takes the path of blood in any other vein in the body: vena cava &gt; right atrium &gt;  right ventricle &gt; pulmonary artery. As the pulmonary artery narrows within the lung, it becomes lodged and prevents blood flow into the gas exchange surfaces.",,,
,RESPONSE-OPTION,"Right Atrium",
,RESPONSE-OPTION,F,
29,QUESTION,shortTextResponse,"What is structure G called ...","What is structure G called?",,,,,
,RESPONSE-OPTION,"Fossa ovalis",
,RESPONSE-OPTION,"Foramen ovale",
31,QUESTION,multiBlanks,"Central venous pressure is an index that shows the blood pressure at the union o...","Central venous pressure is an index that shows the blood pressure at the union of which two vessels?

Vessel 1 [blank]

Vessel 2 [blank]","It is usually +5 mmHg","It is usually +5 mmHg",,,
,RESPONSE-OPTION,"D, H, Inferior vena cava, superior vena cava ",
,RESPONSE-OPTION,"D, H, Inferior vena cava, superior vena cava ",
34,QUESTION,shortTextResponse,"Which valve contains a leaflet that is attached to the septal papillary muscle v...","Which valve contains a leaflet that is attached to the septal papillary muscle via chordae tendineae?","Only the tricuspid and mitral valves contain chordae tendineae. The mitral valve is bicuspid with an anteromedial and posteromedial attachments to papillary muscles of the left ventricle. The tricuspid valve contains anterior, posterior and septal attachments to the papillary muscles of the right ventricle.","Only the tricuspid and mitral valves contain chordae tendineae. The mitral valve is bicuspid with an anteromedial and posteromedial attachments to papillary muscles of the left ventricle. The tricuspid valve contains anterior, posterior and septal attachments to the papillary muscles of the right ventricle.",,,
,RESPONSE-OPTION,I,
,RESPONSE-OPTION,"Tricuspid valve",
4,POT,"Trial Questions"
5,QUESTION,singleResponse,"Patient Z  with a blood pressure of 86 60 mm Hg  has fainted  What would be the ...","Patient Z, with a blood pressure of 86/60 mm Hg, has fainted. What would be the effect on the pressure-volume loop in comparison to a person with normal blood pressure?","That's right!

Point 1 = EDV and end diastolic pressure
Point 2 = Aortic pressure is encountered here as the heart contracts to isovolumetric pressure. This is where the aortic valve opens
Point 3 = ESV
Point 4 = Same volume, pressure drops

<strong><em>Stroke volume is the difference between points 2 and 3</em></strong>.

Blood pressure is <strong>below</strong> the normal range. This is due to the <strong>reduced stroke volume</strong> where there is a reduced venous return, and so smaller preload/EDV and less contractility, causing a decreased cardiac output and decreased blood pressure.
<ol>
 	<li>Although points 2 and 3 do move closer together as stroke volume decreases as preload increases, points 1 and 2 also move closer together. Due to this, this option is not the most appropriate answer out of the options given.</li>
 	<li>Correct as all 4 points move closer together, meaning that the whole pressure-volume loop becomes smaller</li>
 	<li>Point 1 would move slightly to the left as reduced blood pressure implies that there is also less venous return so the EDV would fall below the normal range.</li>
 	<li>Similar to option A, although this is correct, all 4 points move closer together, not just points 1 and 2.</li>
 	<li>Due to the reduction in stroke volume, EDV and blood pressure, the pressure-volume loop would become smaller.</li>
</ol>
<span style=""color: #008080;"">Learning outcome: Pressure volume loops: draw cardiac pressure-volume loops and explain the influence of preload and afterload</span>","Sorry that's not right.

Point 1 = EDV and end diastolic pressure
Point 2 = Aortic pressure is encountered here as the heart contracts to isovolumetric pressure. This is where the aortic valve opens
Point 3 = ESV
Point 4 = Same volume, pressure drops

<strong><em>Stroke volume is the difference between points 2 and 3</em></strong>.

Blood pressure is <strong>below</strong> the normal range. This is due to the <strong>reduced stroke volume</strong> where there is a reduced venous return, and so smaller preload/EDV and less contractility, causing a decreased cardiac output and decreased blood pressure.
<ol>
 	<li>Although points 2 and 3 do move closer together as stroke volume decreases as preload increases, points 1 and 2 also move closer together. Due to this, this option is not the most appropriate answer out of the options given.</li>
 	<li>Correct as all 4 points move closer together, meaning that the whole pressure-volume loop becomes smaller</li>
 	<li>Point 1 would move slightly to the left as reduced blood pressure implies that there is also less venous return so the EDV would fall below the normal range.</li>
 	<li>Similar to option A, although this is correct, all 4 points move closer together, not just points 1 and 2.</li>
 	<li>Due to the reduction in stroke volume, EDV and blood pressure, the pressure-volume loop would become smaller.</li>
</ol>
<span style=""color: #008080;"">Learning outcome: Pressure volume loops: draw cardiac pressure-volume loops and explain the influence of preload and afterload</span>",,,
,RESPONSE-OPTION,"Points 2 and 3 would move closer together.",
,RESPONSE-OPTION,"The pressure-volume loop would become smaller.",correct
,RESPONSE-OPTION,"Point 1 would move slightly to the right.",
,RESPONSE-OPTION,"Point 1 and 2 would be closer together.",
,RESPONSE-OPTION,"There would be no change to the pressure-volume loop.",
9,QUESTION,singleResponse,"Patient Y has a tricuspid incompetence  Due to this  what clinical sign would be...","Patient Y has a tricuspid incompetence. Due to this, what clinical sign would be present during atrial systole that allows doctors to make this diagnosis?","That's right!

Atrial systole is where the atria contract to top off the blood that has already flown passively through the atrioventricular valves into the ventricles. Atrial contraction completes before ventricles start contracting due to the pause caused by the atrioventricular node.
<ol>
 	<li>An abnormal heart sound called S4 typically occurs during atrial systole with pulmonary embolism, congestive heart failure and tricuspid incompetence. Although not very likely, atrial systole causes S4 if a patient presents with tricuspid incompetence as the blood hitting the ventricle that comes from the ventricle is exaggerated.</li>
 	<li>An increased jugular pulse occurs during ventricular systole and can usually be a sign of right ventricular failure.</li>
 	<li>This statement is too vague where it would depend on what lead the P wave would be large. Lead II, lead III and lead aVF only would have a bigger P wave [you are not expected to know what the ECG leads looks like for tricuspid regurgitation! This is just included for your understanding as to why this option is incorrect.]</li>
 	<li>T wave would be present on all ECG leads regardless of tricuspid incompetence.</li>
 	<li>Ventricular gallop is a S3 that is heard during rapid ventricular filling usually due to severe hypertension or mitral incompetence.</li>
</ol>
The two normal heart sounds are S1 and S2. S1 is the first heart sound that occurs when the AV valves are closing during isovolumic contraction and S2 is the second heart sound that occurs when the pulmonary and aortic valves shut during isovolumic relaxation.

<span style=""color: #008080;"">Learning outcome: Phases of the cardiac cycle: recall electrical and mechanical events, valve movements, and points where this occurs on pressure-volume loops</span>","Sorry that's not correct!

Atrial systole is where the atria contract to top off the blood that has already flown passively through the atrioventricular valves into the ventricles. Atrial contraction completes before ventricles start contracting due to the pause caused by the atrioventricular node.
<ol>
 	<li>An abnormal heart sound called S4 typically occurs during atrial systole with pulmonary embolism, congestive heart failure and tricuspid incompetence. Although not very likely, atrial systole causes S4 if a patient presents with tricuspid incompetence as the blood hitting the ventricle that comes from the ventricle is exaggerated.</li>
 	<li>An increased jugular pulse occurs during ventricular systole and can usually be a sign of right ventricular failure.</li>
 	<li>This statement is too vague where it would depend on what lead the P wave would be large. Lead II, lead III and lead aVF only would have a bigger P wave [you are not expected to know what the ECG leads looks like for tricuspid regurgitation! This is just included for your understanding as to why this option is incorrect.]</li>
 	<li>T wave would be present on all ECG leads regardless of tricuspid incompetence.</li>
 	<li>Ventricular gallop is a S3 that is heard during rapid ventricular filling usually due to severe hypertension or mitral incompetence.</li>
</ol>
The two normal heart sounds are S1 and S2. S1 is the first heart sound that occurs when the AV valves are closing during isovolumic contraction and S2 is the second heart sound that occurs when the pulmonary and aortic valves shut during isovolumic relaxation.

<span style=""color: #008080;"">Learning outcome: Phases of the cardiac cycle: recall electrical and mechanical events, valve movements, and points where this occurs on pressure-volume loops</span>",,,
,RESPONSE-OPTION,"A.	There would be an abnormal heart sound called S4",correct
,RESPONSE-OPTION,"B.	A jugular pulse can be felt",
,RESPONSE-OPTION,"C.	There would be a bigger P wave on an ECG",
,RESPONSE-OPTION,"D.	There would be no T wave on an ECG",
,RESPONSE-OPTION,"E.	There would be a ventricular gallop heard",
